Song,Title,Singer,About,일치여부
몽유 (Feat. 그냥노창),몽유 (Sleepwalker)!,BIG Naughty (서동현),-,불일치
Akita (Feat. hartts) (Prod. OBSN),Woodpecker No. 1!,Merzbow,6 minutes and 42 seconds of pure audio bliss,불일치
덫,덫 (Rat In The Trap)!,THE BOYZ,-,불일치
"빠삐용,",빠삐용. (Papillion.)!,BIG Naughty (서동현),-,불일치
Smoke Sprite (feat. RM of BTS),Smoke Sprite!,So!YoON!,-,불일치
Coin,Toss a Coin to Your Witcher!,"Sonya Belousova, Giona Ostinelli, & Joey Batey","“Toss a Coin to Your Witcher” tells the story of Geralt of Rivia and how he fought a sylvan, a half-goat half-man, in the second episode of the series titled “Four Marks.” In the show, it was composed by Jaskier, Geralt’s companion, played by Joey Batey.
Jaskier spins the real events to paint Geralt in a heroic light, hoping to win over the common folk and ease the distrust and contempt with which Witchers are met in the Northern Kingdoms.",불일치
북극성 (Never Goodbye),NCT DREAM - 북극성 (Never Goodbye) (English Translation)!,Genius English Translations,"This R&B ballad song has clam percussion sounds, Rhodes piano and Chimes. It’s about waiting for you at the same place like a Polaris. The members, MARK, JENO, JAEMIN & JISUNG participated in the rap-making.",불일치
에피소드,에피소드 (Episode)!,Lee Mujin (이무진),"‘Episode’ by Lee Mujin is a nostalgic song about a past relationship, framed as series of memories or ‘episodes’. It starts with the narrator recalling first dates and loving conversations, before heading more into the heartache of the breakup and the ensuing loneliness.",불일치
예뻤어,DAY6 - 예뻤어 (You Were Beautiful) (Romanized)!,Genius Romanizations,-,불일치
한 페이지가 될 수 있게,DAY6 - 한 페이지가 될 수 있게 (Time of Our Life) (English Translation)!,Genius English Translations,"“Time of Our Life” by DAY6 is the title track of their 5th EP “The Book of Us: Gravity”. This song is an uplifting and empowering anthem about seizing the present moment and making the most out of life. It encourages listeners to let go of worries and anxieties and focus on creating memorable experiences and memories together.
The lyrics of this vibrant and anthemic song tell a story of embracing the fleeting nature of time, and cherishing the memories made along the way. With its dynamic instrumentation, powerful vocals, and heartfelt lyrics, they deliver a powerful message about living life to the fullest and appreciating every precious second.
The song was written and produced in the key A♭ Major, with a tempo of 175 BPM.",불일치
사건의 지평선,YOUNHA - 사건의 지평선 (Event Horizon) (English Translation)!,Genius English Translations,-,불일치
심(心),BTS - 전하지 못한 진심 (The Truth Untold) ft. Steve Aoki (English Translation)!,Genius English Translations,"“전하지 못한 진심”, the 3rd track on Love Yourself: 轉 Tear, translates to “sincerity that couldn’t be delivered.” It references the smeraldo flower, a fictitious flower that BTS has been associated with on more than one occasion. Similar to how different flowers can mean different things, the smeraldo means “the truth I couldn’t tell,” according to the only flower shop that claims to sell it.
There are similarities between the lyrics of the song and “La Città di Smeraldo”, an Italian tale about a man who hides in his house because he’s afraid of showing himself. As he watches from the window, he falls in love with a woman stealing flowers from his garden to sell them. Trying to help her, he grows a special flower, the smeraldo, so that she can earn more money from it, but the woman dies before she is able to see it or meet the man. Several quotes from the original story are written in the teaser posters for the Love Yourself series.",불일치
Discord,Discord,The Living Tombstone,“Discord” is a song about a draconequus of the same name from My Little Pony: Friendship is Magic who attempts to overthrow Equestria and wreak havoc upon their world.,일치
Shopper,Window Shopper!,50 Cent,"Off the soundtrack for Get Rich Or Die Tryin' (not to be confused with the major label debut of the same name), 50 delivers another report on the spoils of success and the negative attention it raises from his peers
Though 50 sings the entire track apart from the intro, the lyrical and instrumental structure qualify it as a rap song nonetheless
In the version of the hook used here, Fif namechecks 4 of his enemies; other versions (both dirty and radio edits) omit the names",불일치
무지개,무지개 (Rainbow)!,f(x),-,불일치
London Boy,London Boy,Taylor Swift,"“London Boy” is most likely an ode to Swift’s boyfriend as of the song’s release, British actor Joe Alwyn. Other songs on the album, including the title track, are assumed to be about their relationship.
Having mostly escaped the public eye during her relationship with Alwyn, Swift finally shares some of the most memorable experiences she’s enjoyed.
This track is notable for using an interpolation of the rhythm on Cautious Clay’s “Cold War,” making Clay only the second artist ever to be interpolated on one of Swift’s songs (after Right Said Fred on “Look What You Made Me Do”).",일치
Polaroid,Polaroid,Carl Brave x Franco126,-,일치
여섯 번째 여름,여섯 번째 여름 (The 6th Summer)!,PLAVE,-,불일치
관객이 될게 (I stan U),관객이 될게 (I stan U),IU (아이유),-,일치
TOMBOY,Tomboy!,Princess Nokia,"“Tomboy,” is the second track of Princess Nokia’s 2017 album 1992 Deluxe. The song is about Princess Nokia being proud of her body and owning her sexuality. In an interview with Mass appeal Princess Nokia talked about Tomboy and said,
By falling in love with all your flaws. I’ve done fallen in love with all of mine. I see my existence as a big fuck you to conventionality. Sure I have little titties and a phat belly, but that doesn’t make me less of a goddess, less of an aphrodisiac.",불일치
잠깐 시간 될까,잠깐 시간 될까 (Ordinary Confession)!,Lee Mujin (이무진),-,불일치
Blueming,IU - Blueming (English Translation)!,Genius English Translations,"“Blueming""s motivation came from 심수봉(Korean singer song writer)’s ‘백만송이 장미(A Million Roses)’
The concept of this song is ‘Waiting a miracle to a impossible phenomenon, 'bloom a blue rose and achieve love’”. The combination of ‘blue’(symbol of gloom) and ‘bloom’(symbol of hope) also explains the subject of the song.
The following is the official introduction of the song(translated).
One of my favorite love song is 심수봉’s “백만송이 장미(A Million Roses)
To me, expressing a single rose as ‘Achieving love with practice without a hateful feeling’ seems poetic and beautiful than any other metaphors of love.
The period when I bloom the most roses in a short time is after I fell in love.
Right before confessing our heart is when we use every word in the universe except only one crucial word, to express our emotions to our lover,
when we feel the phone vibration one by one as an earthquake that shakes my everyday life without mercy,
when the words that we mentioned without filtering becomes a love poem.
The awkward style of the sentences pours out in our head, giving a doubt ‘Did this sentence really came from my head?’ At that period, love explodes inside me so strongly that it gives me the confidence that ‘I can bloom millions of roses easily.’ Inside our chat, I’m positive that for this once, I can bloom a blue rose just like my color,
a ‘miracle’ just like the meaning of the rose,
the achievement that is almost impossible.
Even though I had never made it…/",불일치
신호등,신호등 (Traffic Light)!,Lee Mujin (이무진),"Lee Mujin personifies the anxiety of a young adult in “Traffic Light,” a summery folk jazz opening that signals his major debut. Lee compares himself to a yellow traffic light, which does its best, even if it does not last long. At 20, he will make raw choices without guidance, trying to establish his place as both a musician and a person.
“I want to talk about the chaotic state of mind that young people face in the first stages of entering society. That sense of chaos builds up day by day,” Lee told The Korea JoongAng Daily.
Lee wrote “Traffic Light” for homework at the Seoul Institute of the Arts, where he is currently an undergraduate. One other assignment is “I’m Sorry, Professor,” which he performed as part of a group.",불일치
사랑했나봐,사랑했나봐 (I Guess I Loved You)!,LEE CHANGSUB,-,불일치
